YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,135,1,161000,1,45,1,1,2
2019,13,21,0,11500,0,61,3,2,1
2019,13,135,0,52020,1,54,1,2,2
2019,13,63,0,137200,0,53,1,5,2
2019,13,63,0,137200,1,56,1,5,1
2019,13,63,0,137200,0,35,0,5,1
2019,13,0,1,9200,1,70,4,2,1
2019,13,0,0,3840,1,65,3,2,1
2019,13,0,1,20180,1,57,3,1,1
2019,13,0,1,110000,1,49,1,1,3
2019,13,0,1,110000,0,47,1,1,2
2019,13,0,1,63000,1,65,1,1,2
2019,13,0,1,63000,0,58,1,1,2
2019,13,139,0,23000,0,26,1,1,2
2019,13,0,0,22700,0,64,3,1,2
2019,13,0,0,42000,1,31,0,1,1
2019,13,0,0,42000,0,40,2,1,1
2019,13,0,0,42000,1,58,1,1,1
2019,13,0,1,84900,1,72,3,1,3
2019,13,73,0,35000,0,32,3,1,2
2019,13,51,0,26900,1,52,0,2,2
2019,13,51,1,88800,1,55,0,1,3
2019,13,67,1,22000,0,50,3,1,1
2019,13,67,1,22000,1,51,3,1,1
2019,13,139,0,38200,0,58,4,2,1
2019,13,139,0,38200,1,61,0,2,1
2019,13,0,0,40900,0,63,4,2,1
2019,13,0,1,20600,1,61,1,2,1
2019,13,0,1,20600,0,62,1,2,1
2019,13,0,0,246000,0,28,1,1,3
2019,13,0,0,246000,1,31,1,1,3
2019,13,0,1,274000,0,33,1,1,3
2019,13,0,1,274000,1,32,1,1,3
2019,13,73,1,144000,0,55,1,1,2
2019,13,73,1,144000,1,70,1,1,1
2019,13,0,1,83710,1,72,4,1,1
2019,13,0,0,131000,0,48,1,1,2
2019,13,0,0,131000,1,50,1,1,2
2019,13,0,0,7500,0,72,4,1,1
2019,13,73,1,110000,1,55,1,1,1
2019,13,73,1,110000,0,50,1,1,1
2019,13,0,1,244900,0,72,1,1,1
2019,13,0,1,244900,1,34,0,1,2
2019,13,67,1,250000,0,29,1,1,2
2019,13,67,1,250000,1,29,1,1,3
2019,13,21,0,5000,0,33,0,2,2
2019,13,0,1,78500,1,62,1,1,2
2019,13,0,1,78500,0,56,1,1,1
2019,13,73,1,71000,1,33,0,1,2
2019,13,73,1,71000,0,28,0,1,2
2019,13,0,0,9500,0,69,3,4,2
2019,13,0,0,21000,0,26,0,2,1
2019,13,0,1,127100,1,32,0,1,3
2019,13,0,1,127100,0,30,0,1,3
2019,13,0,0,77900,1,32,0,1,2
2019,13,0,0,77900,0,27,0,1,3
2019,13,57,1,121350,1,61,1,1,1
2019,13,57,1,121350,0,63,1,1,1
2019,13,0,1,70000,0,47,2,2,2
2019,13,0,1,145000,0,41,3,1,2
2019,13,0,0,14000,0,56,1,1,1
2019,13,0,0,14000,1,54,1,1,1
2019,13,223,1,100000,0,35,1,1,2
2019,13,223,1,100000,1,45,1,1,1
2019,13,223,1,100000,0,61,4,1,1
2019,13,0,1,40000,1,46,1,1,1
2019,13,0,0,31200,0,36,0,2,1
2019,13,0,1,138000,1,40,1,2,2
2019,13,0,1,138000,0,32,1,2,1
2019,13,67,0,84500,0,45,2,5,1
2019,13,67,0,84500,1,27,0,5,1
2019,13,245,1,24400,1,61,3,1,2
2019,13,0,1,83100,1,55,1,1,2
2019,13,0,1,83100,0,55,1,1,3
2019,13,0,1,35800,0,40,3,1,2
2019,13,97,1,0,0,71,3,2,1
2019,13,67,1,118000,1,26,1,1,2
2019,13,67,1,118000,0,25,1,1,3
2019,13,139,1,51000,1,56,1,2,1
2019,13,139,1,51000,0,41,1,4,2
2019,13,67,1,249040,1,48,1,4,2
2019,13,67,1,249040,0,46,1,4,3
2019,13,0,1,143200,0,36,1,1,3
2019,13,0,1,143200,1,41,1,1,3
2019,13,0,0,9100,1,66,0,2,1
2019,13,73,1,71400,0,36,0,1,3
2019,13,0,1,11400,0,67,1,2,1
2019,13,77,1,54700,1,54,0,1,2
2019,13,0,1,262900,0,52,1,1,2
2019,13,0,1,262900,1,54,1,1,2
2019,13,0,1,262900,1,26,0,1,2
